Customer ID,Name,Gender,Segment
CS0001,Li Wei,Male,Consumer
CS0002,Chen Jia,Female,Consumer
CS0003,Zhang Lei,Male,Corporate
CS0004,Wang Fang,Female,Consumer
CS0005,Liu Ying,Female,Consumer
CS0006,Arjun Kumar,Male,Consumer
CS0007,Neha Patel,Female,Consumer
CS0008,Rajesh Nair,Male,Consumer
CS0009,Priya Singh,Female,Consumer
CS0010,Vikram Rao,Male,Consumer
CS0011,Ahmad Ali,Male,Consumer
CS0012,Siti Nur,Female,Consumer
CS0013,Hafiz Ismail,Male,Consumer
CS0014,Aisyah Bakar,Female,Consumer
CS0015,Zainal Abidin,Male,Home Office
CS0016,Jefry Lajim,Male,Home Office
CS0017,Daisy Jaimin,Female,Consumer
CS0018,Siti Masliha,Female,Consumer
CS0019,Bobby Suan,Male,Consumer
CS0020,James Ratib,Male,Consumer
CS0021,Li Wei,Male,Consumer
CS0022,Chen Jia,Female,Corporate
CS0023,Zhang Lei,Male,Corporate
CS0024,Wang Fang,Female,Consumer
CS0025,Liu Ying,Female,Consumer
CS0026,Arjun Kumar,Male,Consumer
CS0027,Neha Patel,Female,Consumer
CS0028,Rajesh Nair,Male,Consumer
CS0029,Priya Singh,Female,Consumer
CS0030,Vikram Rao,Male,Consumer
CS0031,Ahmad Ali,Male,Consumer
CS0032,Siti Nur,Female,Consumer
CS0033,Hafiz Ismail,Male,Consumer
CS0034,Aisyah Bakar,Female,Consumer
CS0035,Zainal Abidin,Male,Home Office
CS0036,Jefry Lajim,Male,Corporate
CS0037,Daisy Jaimin,Female,Corporate
CS0038,Siti Masliha,Female,Home Office
CS0039,Bobby Suan,Male,Home Office
CS0040,James Ratib,Male,Home Office
CS0041,Li Wei,Male,Home Office
CS0042,Chen Jia,Female,Corporate
CS0043,Zhang Lei,Male,Corporate
CS0044,Wang Fang,Female,Corporate
CS0045,Liu Ying,Female,Corporate
CS0046,Arjun Kumar,Male,Corporate
CS0047,Neha Patel,Female,Consumer
CS0048,Rajesh Nair,Male,Consumer
CS0049,Priya Singh,Female,Consumer
CS0050,Vikram Rao,Male,Consumer
CS0051,Ahmad Ali,Male,Consumer
CS0052,Siti Nur,Female,Consumer
CS0053,Hafiz Ismail,Male,Consumer
CS0054,Aisyah Bakar,Female,Corporate
CS0055,Zainal Abidin,Male,Corporate
CS0056,Jefry Lajim,Male,Consumer
CS0057,Daisy Jaimin,Female,Consumer
CS0058,Siti Masliha,Female,Consumer
CS0059,Bobby Suan,Male,Consumer
CS0060,James Ratib,Male,Consumer
CS0061,Li Wei,Male,Consumer
CS0062,Chen Jia,Female,Consumer
CS0063,Zhang Lei,Male,Consumer
CS0064,Wang Fang,Female,Consumer
CS0065,Liu Ying,Female,Consumer
CS0066,Arjun Kumar,Male,Consumer
CS0067,Neha Patel,Female,Home Office
CS0068,Rajesh Nair,Male,Corporate
CS0069,Priya Singh,Female,Corporate
CS0070,Vikram Rao,Male,Consumer
CS0071,Ahmad Ali,Male,Consumer
CS0072,Siti Nur,Female,Consumer
CS0073,Hafiz Ismail,Male,Consumer
CS0074,Aisyah Bakar,Female,Consumer
CS0075,Zainal Abidin,Male,Consumer
CS0076,Jefry Lajim,Male,Corporate
CS0077,Daisy Jaimin,Female,Corporate
CS0078,Siti Masliha,Female,Corporate
CS0079,Bobby Suan,Male,Consumer
CS0080,James Ratib,Male,Corporate
CS0081,Li Wei,Male,Corporate
CS0082,Chen Jia,Female,Consumer
CS0083,Zhang Lei,Male,Consumer
CS0084,Wang Fang,Female,Corporate
CS0085,Liu Ying,Female,Home Office
CS0086,Arjun Kumar,Male,Consumer
CS0087,Neha Patel,Female,Consumer
CS0088,Rajesh Nair,Male,Consumer
CS0089,Priya Singh,Female,Home Office
CS0090,Vikram Rao,Male,Corporate
CS0091,Ahmad Ali,Male,Corporate
CS0092,Siti Nur,Female,Corporate
CS0093,Hafiz Ismail,Male,Consumer
CS0094,Aisyah Bakar,Female,Consumer
CS0095,Zainal Abidin,Male,Consumer
CS0096,Jefry Lajim,Male,Home Office
CS0097,Daisy Jaimin,Female,Home Office
CS0098,Siti Masliha,Female,Consumer
CS0099,Bobby Suan,Male,Corporate
CS0100,James Ratib,Male,Home Office
CS0101,Li Wei,Male,Home Office
CS0102,Chen Jia,Female,Home Office
CS0103,Zhang Lei,Male,Consumer
CS0104,Wang Fang,Female,Consumer
CS0105,Liu Ying,Female,Consumer
CS0106,Arjun Kumar,Male,Consumer
CS0107,Neha Patel,Female,Consumer
CS0108,Rajesh Nair,Male,Consumer
CS0109,Priya Singh,Female,Consumer
CS0110,Vikram Rao,Male,Home Office
CS0111,Ahmad Ali,Male,Corporate
CS0112,Siti Nur,Female,Consumer
CS0113,Hafiz Ismail,Male,Consumer
CS0114,Aisyah Bakar,Female,Consumer
CS0115,Zainal Abidin,Male,Consumer
CS0116,Jefry Lajim,Male,Consumer
CS0117,Daisy Jaimin,Female,Consumer
CS0118,Siti Masliha,Female,Consumer
CS0119,Bobby Suan,Male,Corporate
CS0120,James Ratib,Male,Consumer
CS0121,Li Wei,Male,Consumer
CS0122,Chen Jia,Female,Consumer
CS0123,Zhang Lei,Male,Consumer
CS0124,Wang Fang,Female,Consumer
CS0125,Liu Ying,Female,Home Office
CS0126,Arjun Kumar,Male,Consumer
CS0127,Neha Patel,Female,Consumer
CS0128,Rajesh Nair,Male,Consumer
CS0129,Priya Singh,Female,Home Office
CS0130,Vikram Rao,Male,Home Office
CS0131,Ahmad Ali,Male,Corporate
CS0132,Siti Nur,Female,Corporate
CS0133,Hafiz Ismail,Male,Corporate
CS0134,Aisyah Bakar,Female,Consumer
CS0135,Zainal Abidin,Male,Consumer
CS0136,Jefry Lajim,Male,Consumer
CS0137,Daisy Jaimin,Female,Consumer
CS0138,Siti Masliha,Female,Consumer
CS0139,Bobby Suan,Male,Consumer
CS0140,James Ratib,Male,Consumer
CS0141,Li Wei,Male,Corporate
CS0142,Chen Jia,Female,Corporate
CS0143,Zhang Lei,Male,Corporate
CS0144,Wang Fang,Female,Corporate
CS0145,Liu Ying,Female,Consumer
CS0146,Arjun Kumar,Male,Consumer
CS0147,Neha Patel,Female,Home Office
CS0148,Rajesh Nair,Male,Corporate
CS0149,Priya Singh,Female,Corporate
CS0150,Vikram Rao,Male,Corporate
CS0151,Ahmad Ali,Male,Corporate
CS0152,Siti Nur,Female,Home Office
CS0153,Hafiz Ismail,Male,Home Office
CS0154,Aisyah Bakar,Female,Corporate
CS0155,Zainal Abidin,Male,Corporate
CS0156,Jefry Lajim,Male,Corporate
CS0157,Daisy Jaimin,Female,Home Office
CS0158,Siti Masliha,Female,Consumer
CS0159,Bobby Suan,Male,Consumer
CS0160,James Ratib,Male,Consumer
CS0161,Li Wei,Male,Consumer
CS0162,Chen Jia,Female,Consumer
CS0163,Zhang Lei,Male,Consumer
CS0164,Wang Fang,Female,Consumer
CS0165,Liu Ying,Female,Consumer
CS0166,Arjun Kumar,Male,Consumer
CS0167,Neha Patel,Female,Consumer
CS0168,Rajesh Nair,Male,Consumer
CS0169,Priya Singh,Female,Consumer
CS0170,Vikram Rao,Male,Consumer
CS0171,Ahmad Ali,Male,Consumer
CS0172,Siti Nur,Female,Consumer
CS0173,Hafiz Ismail,Male,Consumer
CS0174,Aisyah Bakar,Female,Consumer
CS0175,Zainal Abidin,Male,Corporate
CS0176,Jefry Lajim,Male,Corporate
CS0177,Daisy Jaimin,Female,Consumer
CS0178,Siti Masliha,Female,Consumer
CS0179,Bobby Suan,Male,Consumer
CS0180,James Ratib,Male,Home Office
CS0181,Li Wei,Male,Corporate
CS0182,Chen Jia,Female,Corporate
CS0183,Zhang Lei,Male,Home Office
CS0184,Wang Fang,Female,Home Office
CS0185,Liu Ying,Female,Home Office
CS0186,Arjun Kumar,Male,Consumer
CS0187,Neha Patel,Female,Home Office
CS0188,Rajesh Nair,Male,Corporate
CS0189,Priya Singh,Female,Corporate
CS0190,Vikram Rao,Male,Home Office
CS0191,Ahmad Ali,Male,Home Office
CS0192,Siti Nur,Female,Home Office
CS0193,Hafiz Ismail,Male,Home Office
CS0194,Aisyah Bakar,Female,Home Office
CS0195,Zainal Abidin,Male,Corporate
CS0196,Jefry Lajim,Male,Consumer
CS0197,Daisy Jaimin,Female,Consumer
CS0198,Siti Masliha,Female,Home Office
CS0199,Bobby Suan,Male,Corporate
CS0200,James Ratib,Male,Corporate
CS0201,Li Wei,Male,Consumer
CS0202,Chen Jia,Female,Consumer
CS0203,Zhang Lei,Male,Consumer
CS0204,Wang Fang,Female,Consumer
CS0205,Liu Ying,Female,Corporate
CS0206,Arjun Kumar,Male,Consumer
CS0207,Neha Patel,Female,Consumer
CS0208,Rajesh Nair,Male,Consumer
CS0209,Priya Singh,Female,Consumer
CS0210,Vikram Rao,Male,Consumer
CS0211,Ahmad Ali,Male,Consumer
CS0212,Siti Nur,Female,Corporate
CS0213,Hafiz Ismail,Male,Corporate
CS0214,Aisyah Bakar,Female,Corporate
CS0215,Zainal Abidin,Male,Corporate
CS0216,Jefry Lajim,Male,Corporate
CS0217,Daisy Jaimin,Female,Corporate
